,Country Name,Country Code,Indicator Name,Indicator Code,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007,2012,2017,2018
28,Barbados,BRB,Net migration,SM.POP.NETM,-15903.0,-11880.0,-5433.0,-3595.0,-5589.0,-4077.0,-3263.0,-1323.0,-77.0,2050.0,2180.0,2072.0,0.0
29,Brunei Darussalam,BRN,Net migration,SM.POP.NETM,4889.0,9636.0,9768.0,7335.0,2933.0,2839.0,3868.0,3215.0,3347.0,-2089.0,2030.0,1760.0,0.0
30,Bhutan,BTN,Net migration,SM.POP.NETM,5000.0,10000.0,9999.0,10004.0,797.0,1595.0,-85887.0,143.0,29002.0,16829.0,10000.0,0.0,0.0
31,Botswana,BWA,Net migration,SM.POP.NETM,-15000.0,-6020.0,2326.0,14845.0,601.0,5803.0,17864.0,24546.0,21278.0,18730.0,15000.0,15000.0,0.0
32,Central African Republic,CAF,Net migration,SM.POP.NETM,11930.0,13145.0,-20075.0,4000.0,40165.0,-45000.0,50000.0,25000.0,-24405.0,-125614.0,-396129.0,-150000.0,0.0
33,Canada,CAN,Net migration,SM.POP.NETM,178066.0,608528.0,771526.0,438027.0,376129.0,875013.0,698764.0,761611.0,1026702.0,1229905.0,1145721.0,1100000.0,0.0
34,Central Europe and the Baltics,CEB,Net migration,SM.POP.NETM,81694.0,-200621.0,-123404.0,-129100.0,-321864.0,-657287.0,-1411284.0,-1035788.0,-804567.0,-993491.0,-553383.0,-243005.0,0.0
35,Switzerland,CHE,Net migration,SM.POP.NETM,276181.0,92978.0,25185.0,-135365.0,81040.0,130857.0,247406.0,65218.0,186125.0,344872.0,397267.0,250000.0,0.0
36,Channel Islands,CHI,Net migration,SM.POP.NETM,2934.0,3880.0,4250.0,1726.0,5380.0,6085.0,2120.0,3778.0,4592.0,4479.0,3654.0,3654.0,0.0
37,Chile,CHL,Net migration,SM.POP.NETM,-44994.0,-40584.0,-62525.0,-76611.0,-63513.0,-20953.0,13650.0,23454.0,37362.0,59383.0,80820.0,85285.0,0.0
38,China,CHN,Net migration,SM.POP.NETM,-1131180.0,-160289.0,-1081485.0,-47190.0,-200840.0,-420046.0,-764123.0,-383389.0,-2030083.0,-2390895.0,-1698448.0,-1624595.0,0.0
39,Cote d'Ivoire,CIV,Net migration,SM.POP.NETM,200000.0,200000.0,400000.0,420000.0,430000.0,325000.0,375000.0,180000.0,-370000.0,-220000.0,60000.0,30000.0,0.0
40,Cameroon,CMR,Net migration,SM.POP.NETM,0.0,-1000.0,-2500.0,0.0,-16500.0,-19500.0,-48000.0,-48000.0,-54000.0,-54000.0,-36000.0,-24000.0,0.0
