,Country,Country_Code,Indicator Code,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
52,Ethiopia, ETH,CORRUP.HOM,,,32,,35,25,23,22,24,24,26,27,27,26.9,33,33,33,33,,,
53,Fiji, FJI,CORRUP.HOM,,,,,,,,40,,,,,,,-,-,-,-,,,
54,Finland, FIN,CORRUP.HOM,96,98,100,99,97,97,97,96,96,94,90,89,92,94,90,89,89,90,,,
55,France, FRA,CORRUP.HOM,67,66,67,67,63,69,71,75,74,73,69,69,68,70.1,71,71,69,70,,,
56,Gabon, GAB,CORRUP.HOM,,,,,,,33,29,30,33,31,29,28,29.8,35,34,37,34,,,
57,Gambia, GMB,CORRUP.HOM,,,,,,25,28,27,25,23,19,29,32,35.1,34,28,29,28,,,
58,Georgia, GEO,CORRUP.HOM,,23,,,24,18,20,23,28,34,39,41,38,41.3,52,49,52,52,,,
59,Germany, DEU,CORRUP.HOM,79,80,76,74,73,77,82,82,80,78,79,80,79,80.5,79,78,79,81,,,
60,Ghana, GHA,CORRUP.HOM,33,33,35,34,39,33,36,35,33,37,39,39,41,38.5,45,46,48,47,,,
61,Greece, GRC,CORRUP.HOM,49,49,49,42,42,43,43,43,44,46,47,38,35,33.9,36,40,43,46,,,
62,Grenada, GRD,CORRUP.HOM,,,,,,,,,35,34,,,,,-,-,-,-,,,
63,Guatemala, GTM,CORRUP.HOM,31,32,,29,25,24,22,25,26,28,31,34,32,27.3,33,29,32,28,,,
64,Guinea, GIN,CORRUP.HOM,,,,,,,,,19,19,16,18,20,21.1,24,24,25,25,,,
65,Guinea-Bissau, GNB,CORRUP.HOM,,,,,,,,,,22,19,19,21,22,25,19,19,17,,,
66,Guyana, GUY,CORRUP.HOM,,,,,,,,25,25,26,26,26,27,24.9,28,27,30,29,,,
67,Haiti, HTI,CORRUP.HOM,,,,,22,15,15,18,18,16,14,18,22,18,19,19,19,17,,,
68,Honduras, HND,CORRUP.HOM,17,18,,27,27,23,23,26,25,25,26,25,24,25.9,28,26,29,31,,,
69,Hong Kong, HKG,CORRUP.HOM,78,77,77,79,82,80,80,83,83,83,81,82,84,83.9,77,75,74,75,,,
