"Data Source","World Development Indicators",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Bhutan","BTN","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.3102001","4.85067181","4.45450623","4.00759189","4.46518963","4.01964203","4.29156698","4.02999356","3.30091976","3.46146147","3.47362099","3.26993864","3.53426234","3.62130797","3.46894211","3.65892296","3.45418055","","",
"Botswana","BWA","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.81746631","6.58709992","4.74430497","5.78467497","6.22927421","5.26284678","5.00414503","5.25331187","5.71637698","6.74577338","6.0187303","6.29967125","6.48440961","5.39956098","5.30536553","5.96507028","5.46320154","","",
"Central African Republic","CAF","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.99260326","4.14760574","4.56579243","4.61035911","4.19610652","4.76289313","4.46036383","4.77105972","4.02206895","4.34508499","3.74203272","3.82265913","3.87415262","4.84334549","4.85324878","6.30899109","4.28252151","","",
"Canada","CAN","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.27570121","8.6552998","8.88823837","9.04280641","9.09724312","9.06438659","9.20660398","9.29805095","9.46493194","10.5739279","10.55578315","10.23029303","10.24045785","10.13275665","9.96972621","10.37650812","10.53465477","","",
"Central Europe and the Baltics","CEB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.70595509232441","5.90899352526359","6.16221456856421","6.37925922944294","6.35764503869653","6.35726876230125","6.2194351066363","6.1360163332334","6.38132964339503","6.86039565087078","6.80689980719837","6.53557877443473","6.54727913847982","6.714128595108","6.5850958598846","6.56011075867091","6.67717354959808","","",
"Switzerland","CHE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.84356578","10.23142167","10.64117739","10.93651134","11.00394168","10.8219693","10.21397824","10.01601134","10.15153957","10.80916","10.69854306","10.76850557","11.05786041","11.31378981","11.4943653","11.89380635","12.24760438","","",
"Channel Islands","CHI","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.03517653","7.15104141","7.26602369","7.3333044","6.90114757","6.58871514","6.0351678","6.17537454","6.74047957","7.20918362","6.77489384","6.771789","7.02092081","7.44478367","7.80602661","8.29995557","8.52893972","","",
"China","CHN","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.47341372","4.21248348","4.34347862","4.38032391","4.25689544","4.14221514","3.91870987","3.65868461","3.87722767","4.32182388","4.20799171","4.32551324","4.549399","4.71002249","4.77322745","4.88872272","4.98188075","","",
"Cote d'Ivoire","CIV","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.67222788","4.85069361","4.47686869","4.64530601","5.21358812","5.3535558","5.80885012","6.2591541","6.12160449","6.22332889","6.14656571","5.97884029","6.01966007","5.07494225","5.04346217","5.26271074","4.40362075","","",
"Cameroon","CMR","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.98234822","4.18255225","4.3510747","4.41482643","4.0504169","4.14209544","4.10265315","4.16005531","4.39934418","4.32968175","4.5039171","3.398842","4.54202158","4.50318004","4.53427929","4.69952298","4.6902491","","",
"Congo, Dem. Rep.","COD","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.57238174","2.72973283","2.6767524","3.84015653","4.44226491","4.27463655","4.45607982","4.44069383","5.14113002","4.64417372","4.01927698","3.43164138","3.56752988","3.56509235","3.97941198","3.9869163","3.87116143","","",
"Congo, Rep.","COG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.69392456","2.37584221","1.87626667","2.11587856","2.10554645","1.87587189","1.78239931","2.24364157","2.55324653","2.2214418","1.98057464","1.85153641","2.47433199","2.48846715","2.50741981","3.41535064","4.63481785","","",
"Colombia","COL","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.4769317","5.56101361","5.36520046","5.6840998","5.17538681","5.52796211","5.77809346","5.76738502","6.03380973","6.39557747","6.25592621","5.79617882","5.68462271","5.81053737","5.80630699","6.0226695","5.91234407","","",
"Comoros","COM","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.24934652","10.94349543","10.96610977","10.33469623","10.32729373","9.8681874","9.71064849","9.35156869","8.9874242","8.57702449","8.52293619","9.09870956","7.94528634","7.78423737","7.59488902","7.68427435","7.63108978","","",
"Cabo Verde","CPV","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.43401194","4.75244355","4.75569435","4.50008628","4.37710666","4.27364095","4.48974972","4.18900156","3.58313537","3.88152912","4.47556163","4.30527433","5.08776221","5.24587932","5.28356233","5.31378574","5.23696219","","",
"Costa Rica","CRI","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.59314299","6.50019625","6.90020818","6.99989289","6.65927276","6.69515948","6.96992493","7.03324129","7.51461349","7.9073468","8.11340128","8.08732839","7.75122422","7.67780718","7.80327592","7.78042454","7.55572353","","",
"Caribbean small states","CSS","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.81817377303992","4.61990395330506","4.79229746878434","4.68862044338092","4.98696616633303","4.79272950310842","4.87956142299669","4.91914269235716","4.75105131065494","5.55753214441388","5.4157021933198","5.26865763893641","5.35665826645943","5.49951747771501","5.52303234952852","5.94840908071832","6.12507855831825","","",
"Cuba","CUB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.58082967","6.97944519","7.11155879","7.09771076","6.82610737","8.75385175","8.27164137","10.96638176","11.31446824","12.29017512","10.68762349","11.3128656","9.29862453","10.4306951","12.14082739","12.78461066","12.19122021","","",
"Curacao","CUW","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.31196586","5.34238735","5.61591572","5.53012386","5.28464825","5.28617016","5.3085","5.19121611","6.01929897","6.46461028","6.27779476","6.59137905","6.68578788","6.9036741","6.78616827","6.8085447","6.87966475","","",
"Czech Republic","CZE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.71755317","5.88764748","6.19887241","6.55446573","6.38547255","6.38101044","6.19553143","6.01604855","6.35973328","7.29290504","6.92806211","6.97689183","7.02843525","7.8066952","7.65308523","7.24275683","7.14959908","","",
"Germany","DEU","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.82754385","9.86402734","10.10958272","10.33178985","10.07623468","10.22530706","10.11344406","9.96852656","10.15493376","11.13743151","11.0039689","10.71509959","10.76729532","10.91510275","10.95738405","11.07906625","11.13916763","","",
"Djibouti","DJI","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.1253036","3.94019625","5.03592168","5.58189947","4.66613397","4.52727705","4.89260073","4.79323895","4.47885684","4.51186996","4.29711004","4.73829396","4.63176867","4.09869831","4.13814365","4.38930145","3.50192451","","",
"Dominica","DMA","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.12931806","5.223328","5.34098516","5.27230132","5.15229974","5.24445266","5.24618724","5.37814195","5.49472914","5.74783559","5.60128406","5.71225311","5.87236836","5.43430873","5.48942884","5.45513319","5.30393975","","",
"Denmark","DNK","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.1043807","8.4483269","8.70251179","8.90363048","9.00743094","9.0905709","9.16879674","9.32515549","9.51134351","10.67431683","10.33315757","10.15290857","10.24135399","10.16958128","10.17190456","10.27382498","10.35004017","","",
"Dominican Republic","DOM","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.88427497","4.88183301","4.98649017","4.38888279","4.28767555","4.35398197","3.99365784","4.20737005","4.72508234","5.08703423","5.58233888","5.67143533","5.88949284","5.82878304","5.92203373","6.04389175","6.16130052","","",
"Algeria","DZA","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.48903279","3.83787696","3.73004148","3.60104113","3.54407306","3.23516117","3.35510349","3.82141758","4.2018824","5.35939829","5.11716993","5.26748086","6.00050994","6.03576267","6.54721401","6.98289165","6.648475","","",
"East Asia & Pacific (excluding high income)","EAP","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.95853034264871","3.8542808421838","3.91366675181503","3.97966499087948","3.88824189195404","3.88115641746335","3.73367743783709","3.56747733728355","3.73155748305711","4.12721669390639","4.03248838417507","4.13854408365127","4.34213309143102","4.49961253563583","4.59393260155363","4.70136986302436","4.77930071224989","","",
"Early-demographic dividend","EAR","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.79586943209208","5.03622846458093","4.76836625676796","4.88860995642947","4.83264430237894","4.80674273520179","4.75300953444345","4.75216094782601","4.68728504040735","5.09551962792092","4.91697289624222","4.85514310660206","4.89962674783717","4.97215094808557","5.04727311668804","5.11683581692397","4.98763515336404","","",
"East Asia & Pacific","EAS","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.18601530483833","6.22920133855911","6.19744261700549","6.29445770295592","6.26754197204706","6.21991828183755","6.02348746339774","5.81590014377642","5.95751759948264","6.45043891576105","6.33306838186628","6.75325439082064","6.81310565049715","6.58481999261474","6.52995992334713","6.48618545448556","6.64178073464925","","",
"Europe & Central Asia (excluding high income)","ECA","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.91242653284619","5.1849526937147","5.417407427508","5.35715006111853","5.15690099233755","5.15088347938378","5.11908303551963","5.06212229125456","5.09912560802516","5.64916034914902","5.18975721116734","4.89580670950355","4.9910701000009","5.07275822395361","5.08569656756625","5.10377884715882","5.20273005092078","","",
"Europe & Central Asia","ECS","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.78401969565434","7.98464206565526","8.21531352816763","8.42248815040981","8.39376892837424","8.43220127609669","8.36130125799058","8.25519747167755","8.453040716485","9.27046499708961","9.04276839671136","8.90124722575555","8.89494308063397","9.12356899586709","9.22029599490498","9.31470190367323","9.38081982547037","","",
