,Country,Country_Code,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
47,Egypt, EGY,2.9,3.3,3.1,3.6,3.4,3.3,3.2,3.4,3.3,2.9,2.8,2.8,3.1,2.86,32,32,37,36
48,El Salvador, SLV,3.6,3.9,4.1,3.6,3.4,3.7,4.2,4.2,4,4,3.9,3.4,3.6,3.42,38,38,39,39
49,Equatorial Guinea, GNQ,-,-,-,-,-,-,-,1.9,2.1,1.9,1.7,1.8,1.9,1.91,20,19,-,-
50,Eritrea, ERI,-,-,-,-,-,-,2.6,2.6,2.9,2.8,2.6,2.6,2.6,2.48,25,20,18,18
51,Estonia, EST,5.7,5.7,5.7,5.6,5.6,5.5,6,6.4,6.7,6.5,6.6,6.6,6.5,6.35,64,68,69,70
52,Ethiopia, ETH,-,-,3.2,-,3.5,2.5,2.3,2.2,2.4,2.4,2.6,2.7,2.7,2.69,33,33,33,33
53,Fiji, FJI,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-
54,Finland, FIN,9.6,9.8,10,9.9,9.7,9.7,9.7,9.6,9.6,9.4,9,8.9,9.2,9.4,90,89,89,90
55,France, FRA,6.7,6.6,6.7,6.7,6.3,6.9,7.1,7.5,7.4,7.3,6.9,6.9,6.8,7.01,71,71,69,70
56,Gabon, GAB,-,-,-,-,-,-,3.3,2.9,3,3.3,3.1,2.9,2.8,2.98,35,34,37,34
57,Gambia, GMB,-,-,-,-,-,2.5,2.8,2.7,2.5,2.3,1.9,2.9,3.2,3.51,34,28,29,28
58,Georgia, GEO,-,2.3,-,-,2.4,1.8,2,2.3,2.8,3.4,3.9,4.1,3.8,4.13,52,49,52,52
59,Germany, DEU,7.9,8,7.6,7.4,7.3,7.7,8.2,8.2,8,7.8,7.9,8,7.9,8.05,79,78,79,81
60,Ghana, GHA,3.3,3.3,3.5,3.4,3.9,3.3,3.6,3.5,3.3,3.7,3.9,3.9,4.1,3.85,45,46,48,47
61,Greece, GRC,4.9,4.9,4.9,4.2,4.2,4.3,4.3,4.3,4.4,4.6,4.7,3.8,3.5,3.39,36,40,43,46
62,Grenada, GRD,-,-,-,-,-,-,-,-,3.5,3.4,-,-,-,-,-,-,-,-
63,Guatemala, GTM,3.1,3.2,-,2.9,2.5,2.4,2.2,2.5,2.6,2.8,3.1,3.4,3.2,2.73,33,29,32,28
64,Guinea, GIN,-,-,-,-,-,-,-,-,1.9,1.9,1.6,1.8,2,2.11,24,24,25,25
65,Guinea-Bissau, GNB,-,-,-,-,-,-,-,-,-,2.2,1.9,1.9,2.1,2.2,25,19,19,17
66,Guyana, GUY,-,-,-,-,-,-,-,2.5,2.5,2.6,2.6,2.6,2.7,2.49,28,27,30,29
67,Haiti, HTI,-,-,-,-,2.2,1.5,1.5,1.8,1.8,1.6,1.4,1.8,2.2,1.8,19,19,19,17
68,Honduras, HND,1.7,1.8,-,2.7,2.7,2.3,2.3,2.6,2.5,2.5,2.6,2.5,2.4,2.59,28,26,29,31
69,Hong Kong, HKG,7.8,7.7,7.7,7.9,8.2,8,8,8.3,8.3,8.3,8.1,8.2,8.4,8.39,77,75,74,75
70,Hungary, HUN,5,5.2,5.2,5.3,4.9,4.8,4.8,5,5.2,5.3,5.1,5.1,4.7,4.56,55,54,54,51
